network_name,run_date,procedure_code,provider_type,care_setting,service_label,service_category,p50,p10,p25,p75,p90,pmin,pmax,pmean,psd,n_prices,n_groups,cv,hilo,p9010,p7525
Blue Advantage HMO,2026-05-30,93306,institutional,outpatient,Echocardiogram complete w Doppler,Cardiology,149.61,69.27,135.51,247,414.66,59.26,1180.28,207.3722701688557,152.6006483689328,533,986,.73587781,19.916977,5.9861412,1.8227437
Blue Choice PPO,2026-05-30,93306,institutional,outpatient,Echocardiogram complete w Doppler,Cardiology,185.17,69.27,147.71,430.92,669.42,67.75,2251.75,299.5888288288282,250.6550624972193,555,1119,.8366636,33.236164,9.6639242,2.9173381
Blue Choice PPO common,2026-05-30,93306,institutional,outpatient,Echocardiogram complete w Doppler,Cardiology,178.35,69.27,138.53,407.89,600.3099999999999,67.75,2251.75,281.7318375241778,243.1489727479045,517,1055,.86305112,33.236164,8.666234,2.9444163
Blue Choice PPO group 039993,2026-05-30,93306,institutional,outpatient,Echocardiogram complete w Doppler,Cardiology,564.4,211.4,402.46,730.4,878.1,170.74,878.1,548.2436842105262,220.9071281125275,38,52,.40293601,5.1429071,4.1537371,1.8148388
Blue Essentials,2026-05-30,93306,institutional,outpatient,Echocardiogram complete w Doppler,Cardiology,168.9,69.27,135.51,377.94,608.4400000000001,67.75,2251.75,268.929964788732,229.6054253632953,568,1167,.85377407,33.236164,8.7836008,2.7890193
Blue Essentials common,2026-05-30,93306,institutional,outpatient,Echocardiogram complete w Doppler,Cardiology,168.9,69.27,135.51,377.94,608.4400000000001,67.75,2251.75,268.929964788732,229.6054253632953,568,1166,.85377407,33.236164,8.7836008,2.7890193
Blue Premier,2026-05-30,93306,institutional,outpatient,Echocardiogram complete w Doppler,Cardiology,149.61,67.75,135.51,191.6,409.24,55.56,939.08,189.8216791044775,140.0329978948435,268,520,.73770815,16.902088,6.0404429,1.4139178
MyBlue Health HMO,2026-05-30,93306,institutional,outpatient,Echocardiogram complete w Doppler,Cardiology,149.61,69.27,121.96,149.61,222.985,67.75,893.73,157.5733200000002,89.94915477064495,250,522,.57084,13.191586,3.2190702,1.2267137
ParPlan,2026-05-30,93306,institutional,outpatient,Echocardiogram complete w Doppler,Cardiology,204.175,69.27,135.51,418.73,670.77,40.92,2251.75,306.6896347031969,275.7506995675524,438,740,.89911973,55.028103,9.6834126,3.0900302
Blue Advantage HMO,2026-05-30,93306,professional,outpatient,Echocardiogram complete w Doppler,Cardiology,103.98,49.01,58.52,168.32,210.9,35.94,1112.05,121.1344513013168,80.57380152458803,3727,67798,.66516006,30.941847,4.3032036,2.8762815
Blue Choice PPO,2026-05-30,93306,professional,outpatient,Echocardiogram complete w Doppler,Cardiology,120.17,54.88,78.83,227.29,300.99,36.28,1201.42,159.701392876129,113.9496262200435,3762,88984,.71351677,33.115215,5.4845119,2.8832932
Blue Choice PPO common,2026-05-30,93306,professional,outpatient,Echocardiogram complete w Doppler,Cardiology,120.17,54.88,78.83,227.29,303.4,36.28,1201.42,159.7396513175399,113.9894698402579,3757,88756,.71359533,33.115215,5.5284257,2.8832932
Blue Choice PPO group 039993,2026-05-30,93306,professional,outpatient,Echocardiogram complete w Doppler,Cardiology,99.435,54.88,70.62,203.12,236.82,36.28,271.86,137.6073529411765,74.67457813776704,34,40,.54266417,7.4933848,4.3152332,2.8762391
Blue Essentials,2026-05-30,93306,professional,outpatient,Echocardiogram complete w Doppler,Cardiology,115.725,54.88,71.12,208.93,268.85,29.24,1201.42,153.2086118671735,110.7884733943916,3674,74772,.7231217,41.088234,4.8988705,2.937711
Blue Essentials common,2026-05-30,93306,professional,outpatient,Echocardiogram complete w Doppler,Cardiology,115.725,54.88,71.12,208.93,268.85,29.24,1201.42,153.2225054585141,110.8750802550633,3664,74698,.72362137,41.088234,4.8988705,2.937711
Blue Essentials group 295430,2026-05-30,93306,professional,outpatient,Echocardiogram complete w Doppler,Cardiology,94.00999999999999,57.06,71.12,204.55,236.82,36.28,240.65,135.4820312499999,70.31268081299503,64,80,.51898158,6.633131,4.1503682,2.8761249
Blue Essentials group 295781,2026-05-30,93306,professional,outpatient,Echocardiogram complete w Doppler,Cardiology,94.00999999999999,57.06,71.12,204.55,236.82,36.28,240.65,135.48203125,70.31268081299504,64,80,.51898158,6.633131,4.1503682,2.8761249
